Timestamp,Title,Journal,Publication Year,Authors,Field,Link
,State of the climate in 2018,Bulletin of the American Meteorological Society,2019,"Ades, M., Adler, R., Aldeco, L.S., Alejandra, G., Alfaro, E.J., Aliaga-Nestares, V., Allan, R.P., Allan, R., Alves, L.M., Amador, J.A., Andersen, J.K., Anderson, J., Arndt, D.S., Arosio, C., Arrigo, K., Azorin-Molina, C., Bardin, M.Y., Barichivich, J., Barreira, S., Baxter, S., Beck, H.E., Becker, A., Bell, G.D., Bellouin, N., Belmont, M., Benedetti, A., Benedict, I., Bernhard, G.H., Berrisford, P., Berry, D.I., Bettio, L., Bhatt, U.S., Biskaborn, B.K., Bissolli, P., Bjella, K.L., Bjerke, J.K., Blake, E.S., Blenkinsop, S., Blunden, J., Bock, O., Bosilovich, M.G., Boucher, O., Box, J.E., Boyer, T., Braathen, G., Bringas, F.G., Bromwich, D.H., Brown, A., Brown, R., Brown, T.J., Buehler, S.A., Cáceres, L., Calderón, B., Camargo, S.J., Campbell, J.D., Campos Diaz, D.A., Cappelen, J., Carrea, L., Carrier, S.B., Carter, B.R., Castro, A.Y., Cetinic, I., Chambers, D.P., Chen, L., Cheng, L., Cheng, V.Y.S., Christiansen, H.H., Christy, J.R., Chung, E.-S., Claus, F., Clem, K.R., Coelho, C.A.S., Coldewey-Egbers, M., Colwell, S., Cooper, O.R., Cosca, C., Covey, C., Coy, L., Dávila, C.P., Davis, S.M., de Eyto, E., de Jeu, R.A.M., De Laat, J., Decharme, B., Degasperi, C.L., Degenstein, D., Demircan, M., Derksen, C., Dhurmea, K.R., Di Girolamo, L., Diamond, H.J., Diaz, E., Diniz, F.A., Dlugokencky, E.J., Dohan, K., Dokulil, M.T., Dolman, A.J., Domingues, C.M., Domingues, R., Donat, M.G., Dorigo, W.A., Drozdov, D.S., Druckenmiller, M.L., Dunn, R.J.H., Durre, I., Dutton, G.S., Elkharrim, M., Elkins, J.W., Epstein, H.E., Espinoza, J.C., Famiglietti, J.S., Farrell, S.L., Fausto, R.S., Feely, R.A., Feng, Z., Fenimore, C., Fettweis, X., Fioletov, V.E., Flemming, J., Fogt, R.L., Forbes, B.C., Foster, M.J., Francis, S.D., Franz, B.A., Frey, R.A., Frith, S.M., Froidevaux, L., Ganter, C., Garforth, J., Gerland, S., Gilson, J., Gleason, K., Gobron, N., Goetz, S., Goldenberg, S.B., Goni, G., Gray, A., Grooß, J.-U., Gruber, A., Gu, G., Guard, C.C.P., Gupta, S.K., Gutiérrez, D., Haas, C., Hagos, S., Hahn, S., Haimberger, L., Hall, B.D., Halpert, M.S., Hamlington, B.D., Hanna, E., Hanssen-Bauer, I., Harris, I., Hazeleger, W., He, Q., Heidinger, A.K., Heim, R.R., Hemming, D.L., Hendricks, S., Hernández, R., Hersbach, H.E., Hidalgo, H.G., Ho, S.-P.B., Holmes, R.M., Hu, C., Huang, B., Hubbard, K., Hubert, D., Hurst, D.F., Ialongo, I., Ijampy, J.A., Inness, A., Isaac, V., Isaksen, K., Ishii, M., Jeffries, M.O., Jevrejeva, S., Jia, G., Jiménez, C., Jin, X., John, V., Johnsen, B., Johnson, G.C., Johnson, K.S., Johnson, B., Jones, P.D., Jumaux, G., Kabidi, K., Kaiser, J.W., Karaköylü, E.M., Karlsen, S.-R., Karnauskas, M., Kato, S., Kazemi, A.F., Kelble, C., Keller, L.M., Kennedy, J., Kholodov, A.L., Khoshkam, M., Kidd, R., Killick, R., Kim, H., Kim, S.-J., King, A.D., King, B.A., Kipling, Z., Klotzbach, P.J., Knaff, J.A., Korhonen, J., Korshunova, N.N., Kramarova, N.A., Kratz, D.P., Kruger, A., Kruk, M.C., Krumpen, T., Labbé, L., Ladd, C., Lakatos, M., Lakkala, K., Lander, M.A., Landschützer, P., Landsea, C.W., Lareau, N.P., Lavado-Casimiro, W., Lazzara, M.A., Lee, T.C., Leuliette, E., L’heureux, M., Li, B., Li, T., Lieser, J.L., Lim, J.-Y., Lin, I.-I., Liu, H., Locarnini, R., Loeb, N.G., Long, C.S., López, L.A., Lorrey, A.M., Loyola, D., Lumpkin, R., Luo, J.-J., Luojus, K., Lyman, J.M., Malkova, G.V., Manney, G.L., Marchenko, S.S., Marengo, J.A., Marin, D., Marquardt Collow, A.B., Marra, J.J., Marszelewski, W., Martens, B., Martínez-Güingla, R., Massom, R.A., May, L., Mayer, M., Mazloff, M., McBride, C., McCabe, M., McClelland, J.W., McEvoy, D.J., McGree, S., McVicar, T.R., Mears, C.A., Meier, W., Meijers, A., Mekonnen, A., Mengistu Tsidu, G., Menzel, W.P., Merchant, C.J., Meredith, M.P., Merrifield, M.A., Miller, B., Miralles, D.G., Misevicius, N., Mitchum, G.T., Mochizuki, Y., Monselesan, D., Montzka, S.A., Mora, N., Morice, C., Mosquera-Vásquez, K., Mostafa, A.E., Mote, T., Mudryk, L., Mühle, J., Mullan, A.B., Müller, R., Myneni, R., Nash, E.R., Nauslar, N.J., Nerem, R.S., Newman, P.A., Nicolas, J.P., Nieto, J.J., Noetzli, J., Osborn, T.J., Osborne, E., Overland, J., Oyunjargal, L., Park, T., Pasch, R.J., Pascual Ramírez, R., Pastor Saavedra, M.A., Paterson, A.M., Pearce, P.R., Pelto, M.S., Perovich, D., Petropavlovskikh, I., Pezza, A.B., Phillips, C., Phillips, D., Phoenix, G., Pinty, B., Pitts, M., Po-Chedley, S., Polashenski, C., Preimesberger, W., Purkey, S.G., Quispe, N., Rajeevan, M., Rakotoarimalala, C.L., Ramos, A.M., Ramos, I., Randel, W., Raynolds, M.K., Reagan, J., Reid, P., Reimer, C., Rémy, S., Revadekar, J.V., Richardson, A.D., Richter-Menge, J., Ricker, R., Ripaldi, A., Robinson, D.A., Rodell, M., Rodriguez Camino, E., Romanovsky, V.E., Ronchail, J., Rosenlof, K.H., Rösner, B., Roth, C., Rozanov, A., Rusak, J.A., Rustemeier, E., Rutishäuser, T., Sallée, J.-B., Sánchez-Lugo, A., Santee, M.L., Sawaengphokhai, P., Sayouri, A., Scambos, T.A., Scanlon, T., Scardilli, A.S., Schenzinger, V., Schladow, S.G., Schmid, C., Schmid, M., Schoeneich, P., Schreck, C.J., Selkirk, H.B., Sensoy, S., Shi, L., Shiklomanov, A.I., Shiklomanov, N.I., Shimpo, A., Shuman, C.A., Siegel, D.A., Sima, F., Simmons, A.J., Smeets, C.J.P.P., Smith, A., Smith, S.L., Soden, B., Sofieva, V., Sparks, T.H., Spence, J., Spencer, R.G.M., Spillane, S., Srivastava, A.K., Stabeno, P.J., Stackhouse, P.W., Stammerjohn, S., Stanitski, D.M., Steinbrecht, W., Stella, J.L., Stengel, M., Stephenson, T.S., Strahan, S.E., Streeter, C., Streletskiy, D.A., Sun-Mack, S., Suslova, A., Sutton, A.J., Swart, S., Sweet, W., Takahashi, K.S., Tank, S.E., Taylor, M.A., Tedesco, M., Thackeray, S.J., Thompson, P.R., Timbal, B., Timmermans, M.-L., Tobin, S., Tømmervik, H., Tourpali, K., Trachte, K., Tretiakov, M., Trewin, B.C., Triñanes, J.A., Trotman, A.R., Tschudi, M., Tye, M.R., van As, D., van de Wal, R.S.W., van der A, R.J., van der Schalie, R., van der Schrier, G., van der Werf, G.R., van Heerwaarden, C., Van Meerbeeck, C.J., Verburg, P., Vieira, G., Vincent, L.A., Vömel, H., Vose, R.S., Walker, D.A., Walsh, J.E., Wang, B., Wang, H., Wang, L., Wang, M., Wang, M., Wang, R., Wang, S.-H., Wanninkhof, R., Watanabe, S., Weber, M., Webster, M., Weerts, A., Weller, R.A., Westberry, T.K., Weyhenmeyer, G.A., Widlansky, M.J., Wijffels, S.E., Wilber, A.C., Wild, J.D., Willett, K.M., Wong, T., Wood, E.F., Woolway, R.I., Xue, Y., Yin, X., Yu, L., Zambrano, E., Zeyaeyan, S., Zhang, H.-M., Zhang, P., Zhao, G., Zhao, L., Zhou, X., Zhu, Z., Ziemke, J.R., Ziese, M., Andersen, A., Griffin, J., Hammer, G., Love-Brotak, S.E., Misch, D.J., Riddle, D.B., Veasey, S.W.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073052511&doi=10.1175%2f2019BAMSStateoftheClimate.1&partnerID=40&md5=bee594186745ad4d1e031bede909074d
,Development of a Global River Water Temperature Model Considering Fluvial Dynamics and Seasonal Freeze-Thaw Cycle,Water Resources Research,2019,"Tokuda, D., Kim, H., Yamazaki, D., Oki, T.",6.159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061918940&doi=10.1029%2f2018WR023083&partnerID=40&md5=ce06dc2e67b979ba7ec0b5f360cc3128
,Sensitivity of Global Hydrological Simulations to Groundwater Capillary Flux Parameterizations,Water Resources Research,2019,"Koirala, S., Kim, H., Hirabayashi, Y., Kanae, S., Oki, T.",6.159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060259479&doi=10.1029%2f2018WR023434&partnerID=40&md5=aa2b3e5a942a74c0fa5a9215f28b9608
,ESM-SnowMIP: Assessing snow models and quantifying snow-related climate feedbacks,Geoscientific Model Development,2018,"Krinner, G., Derksen, C., Essery, R., Flanner, M., Hagemann, S., Clark, M., Hall, A., Rott, H., Brutel-Vuilmet, C., Kim, H., Ménard, C.B., Mudryk, L., Thackeray, C., Wang, L., Arduini, G., Balsamo, G., Bartlett, P., Boike, J., Boone, A., Chéruy, F., Colin, J., Cuntz, M., Dai, Y., Decharme, B., Derry, J., Ducharne, A., Dutra, E., Fang, X., Fierz, C., Ghattas, J., Gusev, Y., Haverd, V., Kontu, A., Lafaysse, M., Law, R., Lawrence, D., Li, W., Marke, T., Marks, D., Ménégoz, M., Nasonova, O., Nitta, T., Niwano, M., Pomeroy, J., Raleigh, M.S., Schaedler, G., Semenov, V., Smirnova, T.G., Stacke, T., Strasser, U., Svenson, S., Turkov, D., Wang, T., Wever, N., Yuan, H., Zhou, W., Zhu, D.",6.892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058438078&doi=10.5194%2fgmd-11-5027-2018&partnerID=40&md5=e4fa9f3be608649b7d7c94e527abe973
,Evaluation of ORCHIDEE-MICT-simulated soil moisture over China and impacts of different atmospheric forcing data,Hydrology and Earth System Sciences,2018,"Yin, Z., Ottlé, C., Ciais, P., Guimberteau, M., Wang, X., Zhu, D., Maignan, F., Peng, S., Piao, S., Polcher, J., Zhou, F., Kim, H.",6.617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053217965&doi=10.5194%2fhess-22-5463-2018&partnerID=40&md5=5ec3c586395761323de5203398f783f8
,State of the climate in 2017,Bulletin of the American Meteorological Society,2018,"Abernethy, R., Ackerman, S.A., Adler, R., Albanil Encarnación, A., Aldeco, L.S., Alfaro, E.J., Aliaga-Nestares, V., Allan, R.P., Allan, R., Alves, L.M., Amador, J.A., Anderson, J., Andreassen, L.M., Argüez, A., Armitage, C., Arndt, D.S., Avalos, G., Azorin-Molina, C., Báez, J., Bardin, M.Yu., Barichivich, J., Baringer, M.O., Barreira, S., Baxter, S., Beck, H.E., Becker, A., Bedka, K.M., Behe, C., Bell, G.D., Bellouin, N., Belmont, M., Benedetti, A., Bernhard, G.H., Berrisford, P., Berry, D.I., Bhatt, U.S., Bissolli, P., Bjerke, J., Blake, E.S., Blenkinsop, S., Blunden, J., Bolmgren, K., Bosilovich, M.G., Boucher, O., Bouchon, M., Box, J.E., Boyer, T., Braathen, G.O., Bromwich, D.H., Brown, R., Buehler, S., Bulygina, O.N., Burgess, D., Calderón, B., Camargo, S.J., Campbell, E.C., Campbell, J.D., Cappelen, J., Carrea, L., Carter, B.R., Castro, A., Chambers, D.P., Cheng, L., Christiansen, H.H., Christy, J.R., Chung, E.-S., Clem, K.R., Coelho, C.A.S., Coldewey-Egbers, M., Colwell, S., Cooper, O.R., Copland, L., Costanza, C., Covey, C., Coy, L., Cronin, T., Crouch, J., Cruzado, L., Daniel, R., Davis, S.M., Davletshin, S.G., De Eyto, E., De Jeu, R.A.M., De La Cour, J.L., De Laat, J., De Gasperi, C.L., Degenstein, D., Deline, P., Demircan, M., Derksen, C., Dewitte, B., Dhurmea, R., Di Girolamo, L., Diamond, H.J., Dickerson, C., Dlugokencky, E.J., Dohan, K., Dokulil, M.T., Dolman, A.J., Domingues, C.M., Domingues, R., Donat, M.G., Dong, S., Dorigo, W.A., Drozdov, D.S., Dunn, R.J.H., Durre, I., Dutton, G.S., Eakin, C.M., El Kharrim, M., Elkins, J.W., Epstein, H.E., Espinoza, J.C., Famiglietti, J.S., Farmer, J., Farrell, S., Fauchald, P., Fausto, R.S., Feely, R.A., Feng, Z., Fenimore, C., Fettweis, X., Fioletov, V.E., Flemming, J., Fogt, R.L., Folland, C., Forbes, B.C., Foster, M.J., Francis, S.D., Franz, B.A., Frey, R.A., Frith, S.M., Froidevaux, L., Ganter, C., Geiger, E.F., Gerland, S., Gilson, J., Gobron, N., Goldenberg, S.B., Gomez, A.M., Goni, G., Grooß, J.U., Gruber, A., Guard, C.P., Gugliemin, M., Gupta, S.K., Gutiérrez, D., Haas, C., Hagos, S., Hahn, S., Haimberger, L., Hall, B.D., Halpert, M.S., Hamlington, B.D., Hanna, E., Hansen, K., Hanssen-Bauer, L., Harris, I., Hartfield, G., Heidinger, A.K., Heim, R.R., Helfrich, S., Hemming, D.L., Hendricks, S., Hernández, R., Hernández, S.M., Heron, S.F., Heuzé, C., Hidalgo, H.G., Ho, S.-P., Hobbs, W.R., Horstkotte, T., Huang, B., Hubert, D., Hueuzé, C., Hurst, D.F., Ialongo, I., Ibrahim, M.M., Ijampy, J.A., Inness, A., Isaac, V., Isaksen, K., Ishii, M., Jacobs, S.J., Jeffries, M.O., Jevrejeva, S., Jiménez, C., Jin, X., John, V., Johns, W.E., Johnsen, B., Johnson, B., Johnson, G.C., Johnson, K.S., Jones, P.D., Jumaux, G., Kabidi, K., Kaiser, J.W., Karaköylü, E.M., Kato, S., Kazemi, A., Keller, L.M., Kennedy, J., Kerr, K., Khan, M.S., Kholodov, A.L., Khoshkam, M., Killick, R., Kim, H., Kim, S.-J., Klotzbach, P.J., Knaff, J.A., Kohler, J., Korhonen, J., Korshunova, N.N., Kramarova, N., Kratz, D.P., Kruger, A., Kruk, M.C., Krumpen, T., Ladd, C., Lakatos, M., Lakkala, K., Lander, M.A., Landschützer, P., Landsea, C.W., Lankhorst, M., Lavado-Casimiro, W., Lazzara, M.A., Lee, S.-E., Lee, T.C., Leuliette, E., L'Heureux, M., Li, T., Lieser, J.L., Lin, I.-I., Mears, C.A., Liu, G., Li, B., Liu, H., Locarnini, R., Loeb, N.G., Long, C.S., López, L.A., Lorrey, A.M., Loyola, D., Lumpkin, R., Luo, J.-J., Luojus, K., Luthcke, S., Macias-Fauria, M., Malkova, G.V., Manney, G.L., Marcellin, V., Marchenko, S.S., Marengo, J.A., Marín, D., Marra, J.J., Marszelewski, W., Martens, B., Martin, A., Martínez, A.G., Martínez-Güingla, R., Martínez-Sánchez, O., Marsh, B.L., Lyman, J.M., Massom, R.A., May, L., Mayer, M., Mazloff, M., McBride, C., McCabe, M.F., McCarthy, M., Meier, W., Meijers, A.J.S., Mekonnen, A., Mengistu Tsidu, G., Menzel, W.P., Merchant, C.J., Meredith, M.P., Merrifield, M.A., Miller, B., Miralles, D.G., Mitchum, G.T., Mitro, S., Moat, B., Mochizuki, Y., Monselesan, D., Montzka, S.A., Mora, N., Morice, C., Mosquera-Vásquez, K., Mostafa, A.E., Mote, T., Mudryk, L., Mühle, J., Mullan, A.B., Müller, R., Myneni, R., Nash, E.R., Nerem, R.S., Newman, L., Newman, P.A., Nielsen-Gammon, J.W., Nieto, J.J., Noetzli, J., Noll, B.E., O'Neel, S., Osborn, T.J., Osborne, E., Overland, J., Oyunjargal, L., Park, T., Pasch, R.J., Pascual-Ramírez, R., Pastor Saavedra, M.A., Paterson, A.M., Paulik, C., Pearce, P.R., Peltier, A., Pelto, M.S., Peng, L., Perkins-Kirkpatrick, S.E., Perovich, D., Petropavlovskikh, I., Pezza, A.B., Phillips, C., Phillips, D., Phoenix, G., Pinty, B., Pinzon, J., Po-Chedley, S., Polashenski, C., Purkey, S.G., Quispe, N., Rajeevan, M., Rakotoarimalala, C., Rayner, D., Raynolds, M.K., Reagan, J., Reid, P., Reimer, C., Rémy, S., Revadekar, J.V., Richardson, A.D., Richter-Menge, J., Ricker, R., Rimmer, A., Robinson, D.A., Rodell, M., Rodriguez Camino, E., Romanovsky, V.E., Ronchail, J., Rosenlof, K.H., Rösner, B., Roth, C., Roth, D.M., Rusak, J.A., Rutishäuser, T., Sallée, J.-B., Sánchez-Lugo, A., Santee, M.L., Sasgen, L., Sawaengphokhai, P., Sayad, T.A., Sayouri, A., Scambos, T.A., Scanlon, T., Schenzinger, V., Schladow, S.G., Schmid, C., Schmid, M., Schreck, C.J., Selkirk, H.B., Send, U., Sensoy, S., Sharp, M., Shi, L., Shiklomanov, N.I., Shimaraeva, S.V., Siegel, D.A., Silow, E., Sima, F., Simmons, A.J., Skirving, W.J., Smeed, D.A., Smeets, C.J.P.P., Smith, A., Smith, S.L., Soden, B., Sofieva, V., Sparks, T.H., Spence, J.M., Spillane, S., Srivastava, A.K., Stackhouse, P.W., Stammerjohn, S., Stanitski, D.M., Steinbrecht, W., Stella, J.L., Stengel, M., Stephenson, K., Stephenson, T.S., Strahan, S., Streletskiy, D.A., Strong, A.E., Sun-Mack, S., Sutton, A.J., Swart, S., Sweet, W., Takahashi, K.S., Tamar, G., Taylor, M.A., Tedesco, M., Thackeray, S.J., Thoman, R.L., Thompson, P., Thomson, L., Thorsteinsson, T., Timbal, B., Timmermans, M.-L., TImofeyev, M.A., Tirak, K.V., Tobin, S., Togawa, H., Tømmervik, H., Tourpali, K., Trachte, K., Trewin, B.C., Triñanes, J.A., Trotman, A.R., Tschudi, M., Tucker, C.J., Tye, M.R., Van As, D., Van De Wal, R.S.W., Van Der Ronald, J.A., Van Der Schalie, R., Van Der Schrier, G., Van Der Werf, G.R., Van Meerbeeck, C.J., Velden, C.S., Velicogna, I., Verburg, P., Vickers, H., Vincent, L.A., Vömel, H., Vose, R.S., Wagner, W., Walker, D.A., Walsh, J., Wang, B., Wang, J., Wang, L., Wang, M., Wang, R., Wang, S.-H., Wanninkhof, R., Watanabe, S., Weber, M., Webster, M., Weller, R.A., Westberry, T.K., Weyhenmeyer, G.A., Whitewood, R., Widlansky, M.J., Wiese, D.N., Wijffels, S.E., Wilber, A.C., Wild, J.D., Willett, K.M., Willis, J.K., Wolken, G., Wong, T., Wood, E.F., Wood, K., Woolway, R.I., Wouters, B., Xue, Y., Yin, X., Yoon, H., York, A., Yu, L., Zambrano, E., Zhang, H.-M., Zhang, P., Zhao, G., Zhao, L., Zhu, Z., Ziel, R., Ziemke, J.R., Ziese, M.G., Griffin, J., Hammer, G., Love-Brotak, S.E., Misch, D.J., Riddle, D.B., Slagle, M., Sprain, M., Veasey, S.W., McVicar, T.R.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053681754&partnerID=40&md5=774452a028c9691b374d18f3aa24b0b3
,Evapotranspiration simulations in ISIMIP2a-Evaluation of spatio-temporal characteristics with a comprehensive ensemble of independent datasets,Environmental Research Letters,2018,"Wartenburger, R., Seneviratne, S.I., Hirschi, M., Chang, J., Ciais, P., Deryng, D., Elliott, J., Folberth, C., Gosling, S.N., Gudmundsson, L., Henrot, A.-J., Hickler, T., Ito, A., Khabarov, N., Kim, H., Leng, G., Liu, J., Liu, X., Masaki, Y., Morfopoulos, C., Müller, C., Schmied, H.M., Nishina, K., Orth, R., Pokhrel, Y., Pugh, T.A.M., Satoh, Y., Schaphoff, S., Schmid, E., Sheffield, J., Stacke, T., Steinkamp, J., Tang, Q., Thiery, W., Wada, Y., Wang, X., Weedon, G.P., Yang, H., Zhou, T.",6.947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056414729&doi=10.1088%2f1748-9326%2faac4bb&partnerID=40&md5=98ea1bea5feb017f9f261687e911fb7c
,Worldwide evaluation of mean and extreme runoff from six global-scale hydrological models that account for human impacts,Environmental Research Letters,2018,"Zaherpour, J., Gosling, S.N., Mount, N., Schmied, H.M., Veldkamp, T.I.E., Dankers, R., Eisner, S., Gerten, D., Gudmundsson, L., Haddeland, I., Hanasaki, N., Kim, H., Leng, G., Liu, J., Masaki, Y., Oki, T., Pokhrel, Y., Satoh, Y., Schewe, J., Wada, Y.",6.947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049770640&doi=10.1088%2f1748-9326%2faac547&partnerID=40&md5=cf821e490e0905cb3a4d732a54a6f3f1
,Warm Season Satellite Precipitation Biases for Different Cloud Types over Western North Pacific,IEEE Geoscience and Remote Sensing Letters,2018,"Utsumi, N., Kim, H.",5.343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045294744&doi=10.1109%2fLGRS.2018.2815590&partnerID=40&md5=b7dbb97bed8b429317fba30d910d3f37
,On the use of the GRACE normal equation of inter-satellite tracking data for estimation of soil moisture and groundwater in Australia,Hydrology and Earth System Sciences,2018,"Tangdamrongsub, N., Han, S.-C., Decker, M., Yeo, I.-Y., Kim, H.",6.617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043766650&doi=10.5194%2fhess-22-1811-2018&partnerID=40&md5=bfb59ad3a10a5831d83f791142c2018a
,Biogeophysical Impacts of Land-Use Change on Climate Extremes in Low-Emission Scenarios: Results From HAPPI-Land,Earth's Future,2018,"Hirsch, A.L., Guillod, B.P., Seneviratne, S.I., Beyerle, U., Boysen, L.R., Brovkin, V., Davin, E.L., Doelman, J.C., Kim, H., Mitchell, D.M., Nitta, T., Shiogama, H., Sparrow, S., Stehfest, E., van Vuuren, D.P., Wilson, S.",8.852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045531364&doi=10.1002%2f2017EF000744&partnerID=40&md5=96896e86751096495f384e5064c4da60
,"ORCHIDEE-MICT (v8.4.1), a land surface model for the high latitudes: model description and validation",Geoscientific Model Development,2018,"Guimberteau, M., Zhu, D., Maignan, F., Huang, Y., Yue, C., Dantec-N d lec, S., Ottl, C., Jornet-Puig, A., Bastos, A., Laurent, P., Goll, D., Bowring, S., Chang, J., Guenet, B., Tifafi, M., Peng, S., Krinner, G., Ducharne, A.S., Wang, F., Wang, T., Wang, X., Wang, Y., Yin, Z., Lauerwald, R., Joetzjer, E., Qiu, C., Kim, H., Ciais, P.",6.892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043589440&doi=10.5194%2fgmd-11-121-2018&partnerID=40&md5=9004c7066a3d2276b57dcddfc6cc07d7
,Chronological development of terrestrial mean precipitation,Bulletin of the American Meteorological Society,2017,"Park, K.J., Yoshimura, K., Kim, H., Oki, T.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036656468&doi=10.1175%2fBAMS-D-16-0005.1&partnerID=40&md5=bbb13f5c5a049aef34cf42ca7e2534af
,Impacts of spatial resolution and representation of flow connectivity on large-scale simulation of floods,Hydrology and Earth System Sciences,2017,"May Mateo, R.C., Yamazaki, D., Kim, H., Champathong, A., Vaze, J., Oki, T.",6.617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029354100&doi=10.5194%2fhess-21-5143-2017&partnerID=40&md5=08968e477627ccf05c30e076882b2b86
,Evaluation of meris chlorophyll-a retrieval processors in a complex turbid lake kasumigaura over a 10-year mission,Remote Sensing,2017,"Salem, S.I., Strand, M.H., Higa, H., Kim, H., Kazuhiro, K., Oki, K., Oki, T.",5.349,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032859604&doi=10.3390%2frs9101022&partnerID=40&md5=b7a2144b50e95e727d94cc3821f07cb6
,Feasibility study of the reconstruction of historical weather with data assimilation,Monthly Weather Review,2017,"Kinya Toride, A., Neluwala, P., Kim, H., Yoshimura, K.",3.728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028915483&doi=10.1175%2fMWR-D-16-0288.1&partnerID=40&md5=527b44d4131f6a7b9782e13cc8d13a9c
