Timestamp,Title,Journal,Publication Year,Authors,Field,Link
,Development of a web application for examining climate data of global lake basins: CGLB,Hydrological Research Letters,2015,"Nakaegawa, T., Horiuchi, S., Kim, H.",0.29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042573599&doi=10.3178%2fhrl.9.125&partnerID=40&md5=482faf7366e079d401b93e7029acef5f
,Disruption of hydroecological equilibrium in southwest Amazon mediated by drought,Geophysical Research Letters,2015,"Maeda, E.E., Kim, H., Aragão, L.E.O.C., Famiglietti, J.S., Oki, T.",5.576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945435283&doi=10.1002%2f2015GL065252&partnerID=40&md5=c77b4fcda542779cbfe7ad47d248591c
,State of the climate in 2014,Bulletin of the American Meteorological Society,2015,"Aaron-Morrison, A.P., Ackerman, S.A., Adams, N.G., Adler, R.F., Albanil, A., Alfaro, E.J., Allan, R., Alves, L.M., Amador, J.A., Andreassen, L.M., Arendt, A., Arévalo, J., Arndt, D.S., Arzhanova, N.M., Aschan, M.M., Azorin-Molina, C., Banzon, V., Bardin, M.U., Barichivich, J., Baringer, M.O., Barreira, S., Baxter, S., Bazo, J., Becker, A., Bedka, K.M., Behrenfeld, M.J., Bell, G.D., Belmont, M., Benedetti, A., Bernhard, G., Berrisford, P., Berry, D.I., Bettolli, M.L., Bhatt, U.S., Bidegain, M., Bill, B.D., Billheimer, S., Bissolli, P., Blake, E.S., Blunden, J., Bosilovich, M.G., Boucher, O., Boudet, D., Box, J.E., Boyer, T., Braathen, G.O., Bromwich, D.H., Brown, R., Bulygina, O.N., Burgess, D., Calderón, B., Camargo, S.J., Campbell, J.D., Cappelen, J., Carrasco, G., Carter, B.R., Chambers, D.P., Chandler, E., Christiansen, H.H., Christy, J.R., Chung, D., Chung, E.-S., Cinque, K., Clem, K.R., Coelho, C.A., Cogley, J.G., Coldewey-Egbers, M., Colwell, S., Cooper, O.R., Copland, L., Cosca, C.E., Cross, J.N., Crotwell, M.J., Crouch, J., Davis, S.M., De Eyto, E., De Jeu, R.A.M., De Laat, J., Degasperi, C.L., Degenstein, D., Demircan, M., Derksen, C., Destin, D., Di Girolamo, L., Di Giuseppe, F., Diamond, H.J., Dlugokencky, E.J., Dohan, K., Dokulil, M.T., Dolgov, A.V., Dolman, A.J., Domingues, C.M., Donat, M.G., Dong, S., Dorigo, W.A., Dortch, Q., Doucette, G., Drozdov, D.S., Ducklow, H., Dunn, R.J.H., Durán-Quesada, A.M., Dutton, G.S., Ebrahim, A., Elkharrim, M., Elkins, J.W., Espinoza, J.C., Etienne-Leblanc, S., Evans, T.E., Famiglietti, J.S., Farrell, S., Fateh, S., Fausto, R.S., Fedaeff, N., Feely, R.A., Feng, Z., Fenimore, C., Fettweis, X., Fioletov, V.E., Flemming, J., Fogarty, C.T., Fogt, R.L., Folland, C., Fonseca, C., Fossheim, M., Foster, M.J., Fountain, A., Francis, S.D., Franz, B.A., Frey, R.A., Frith, S.M., Froidevaux, L., Ganter, C., Garzoli, S., Gerland, S., Gobron, N., Goldenberg, S.B., Gomez, R.S., Goni, G., Goto, A., Grooß, J.-U., Gruber, A., Guard, C.C., Gugliemin, M., Gupta, S.K., Gutiérrez, J.M., Hagos, S., Hahn, S., Haimberger, L., Hakkarainen, J., Hall, B.D., Halpert, M.S., Hamlington, B.D., Hanna, E., Hansen, K., Hanssen-Bauer, I., Harris, I., Heidinger, A.K., Heikkilä, A., Heil, A., Heim, R.R., Hendricks, S., Hernández, M., Hidalgo, H.G., Hilburn, K., Ho, S.-P.B., Holmes, R.M., Hu, Z.-Z., Huang, B., Huelsing, H.K., Huffman, G.J., Hughes, C., Hurst, D.F., Ialongo, I., Ijampy, J.A., Ingvaldsen, R.B., Inness, A., Isaksen, K., Ishii, M., Jevrejeva, S., Jiménez, C., Jin, X., Johannesen, E., John, V., Johnsen, B., Johnson, B., Johnson, G.C., Jones, P.D., Joseph, A.C., Jumaux, G., Kabidi, K., Kaiser, J.W., Kato, S., Kazemi, A., Keller, L.M., Kendon, M., Kennedy, J., Kerr, K., Kholodov, A.L., Khoshkam, M., Killick, R., Kim, H., Kim, S.-J., Kimberlain, T.B., Klotzbach, P.J., Knaff, J.A., Kobayashi, S., Kohler, J., Korhonen, J., Korshunova, N.N., Kovacs, K.M., Kramarova, N., Kratz, D.P., Kruger, A., Kruk, M.C., Kudela, R., Kumar, A., Lakatos, M., Lakkala, K., Lander, M.A., Landsea, C.W., Lankhorst, M., Lantz, K., Lazzara, M.A., Lemons, P., Leuliette, E., L’Heureux, M., Lieser, J.L., Lin, I.-I., Liu, H., Liu, Y., Locarnini, R., Loeb, N.G., Lo Monaco, C., Long, C.S., López Álvarez, L.A., Lorrey, A.M., Loyola, D., Lumpkin, R., Luo, J.-J., Luojus, K., Lydersen, C., Lyman, J.M., Maberly, S.C., Maddux, B.C., Malheiros Ramos, A., Malkova, G.V., Manney, G., Marcellin, V., Marchenko, S.S., Marengo, J.A., Marra, J.J., Marszelewski, W., Martens, B., Martínez-Güingla, R., Massom, R.A., Mata, M.M., Mathis, J.T., May, L., Mayer, M., Mazloff, M., McBride, C., McCabe, M.F., McCarthy, M., McClelland, J.W., McGree, S., McVicar, T.R., Mears, C.A., Meier, W., Meinen, C.S., Mekonnen, A., Menéndez, M., Mengistu Tsidu, G., Menzel, W.P., Merchant, C.J., Meredith, M.P., Merrifield, M.A., Metzl, N., Minnis, P., Miralles, D.G., Mistelbauer, T., Mitchum, G.T., Monselesan, D., Monteiro, P., Montzka, S.A., Morice, C., Mote, T., Mudryk, L., Mühle, J., Mullan, A.B., Nash, E.R., Naveira-Garabato, A.C., Nerem, R.S., Newman, P.A., Nieto, J.J., Noetzli, J., O’Neel, S., Osborn, T.J., Overland, J., Oyunjargal, L., Parinussa, R.M., Park, E.-H., Parker, D., Parrington, M., Parsons, A.R., Pasch, R.J., Pascual-Ramírez, R., Paterson, A.M., Paulik, C., Pearce, P.R., Pelto, M.S., Peng, L., Perkins-Kirkpatrick, S.E., Perovich, D., Petropavlovskikh, I., Pezza, A.B., Phillips, D., Pinty, B., Pitts, M.C., Pons, M.R., Porter, A.O., Primicerio, R., Proshutinsky, A., Quegan, S., Quintana, J., Rahimzadeh, F., Rajeevan, M., Randriamarolaza, L., Razuvaev, V.N., Reagan, J., Reid, P., Reimer, C., Rémy, S., Renwick, J.A., Revadekar, J.V., Richter-Menge, J., Riffler, M., Rimmer, A., Rintoul, S., Robinson, D.A., Rodell, M., Rodríguez Solís, J.L., Romanovsky, V.E., Ronchail, J., Rosenlof, K.H., Roth, C., Rusak, J.A., Sabine, C.L., Sallée, J.-B., Sánchez-Lugo, A., Santee, M.L., Sawaengphokhai, P., Sayouri, A., Scambos, T.A., Schemm, J., Schladow, S.G., Schmid, C., Schmid, M., Schmidtko, S., Schreck, C.J., Selkirk, H.B., Send, U., Sensoy, S., Setzer, A., Sharp, M., Shaw, A., Shi, L., Shiklomanov, A.I., Shiklomanov, N.I., Siegel, D.A., Signorini, S.R., Sima, F., Simmons, A.J., Smeets, C.J.P.P., Smith, S.L., Spence, J.M., Srivastava, A.K., Stackhouse, P.W., Stammerjohn, S., Steinbrecht, W., Stella, J.L., Stengel, M., Stennett-Brown, R., Stephenson, T.S., Strahan, S., Streletskiy, D.A., Sun-Mack, S., Swart, S., Sweet, W., Talley, L.D., Tamar, G., Tank, S.E., Taylor, M.A., Tedesco, M., Teubner, K., Thoman, R.L., Thompson, P., Thomson, L., Timmermans, M.-L., Tirnanes, J.A., Tobin, S., Trachte, K., Trainer, V.L., Tretiakov, M., Trewin, B.C., Trotman, A.R., Tschudi, M., Van As, D., Van De Wal, R.S.W., van der A., R.J., Van Der Schalie, R., Van Der Schrier, G., Van Der Werf, G.R., Van Meerbeeck, C.J., Velicogna, I., Verburg, P., Vigneswaran, B., Vincent, L.A., Volkov, D., Vose, R.S., Wagner, W., Wåhlin, A., Wahr, J., Walsh, J., Wang, C., Wang, J., Wang, L., Wang, M., Wang, S.-H., Wanninkhof, R., Watanabe, S., Weber, M., Weller, R.A., Weyhenmeyer, G.A., Whitewood, R., Wijffels, S.E., Wilber, A.C., Wild, J.D., Willett, K.M., Williams, M.J.M., Willie, S., Wolken, G., Wong, T., Wood, E.F., Woolway, R.I., Wouters, B., Xue, Y., Yamada, R., Yim, S.-Y., Yin, X., Young, S.H., Yu, L., Zahid, H., Zambrano, E., Zhang, P., Zhao, G., Zhou, L., Ziemke, J.R., Love-Brotak, S.E., Gilbert, K., Maycock, T., Osborne, S., Sprain, M., Veasey, S.W., Ambrose, B.J., Griffin, J., Misch, D.J., Riddle, D.B., Young, T., Romanovsky, V.E.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939813863&doi=10.1175%2f2015bamsstateoftheclimate.1&partnerID=40&md5=5ac96cf955febbb09481f2b082b9f7e5
,The diurnal cycle of precipitation in regional spectral model simulations over West Africa: Sensitivities to resolution and cumulus schemes,Weather and Forecasting,2015,"He, X., Kim, H., Kirstetter, P.-E., Yoshimura, K., Chang, E.-C., Ferguson, C.R., Erlingis, J.M., Hong, Y., Oki, T.",3.374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980417207&doi=10.1175%2fWAF-D-14-00013.1&partnerID=40&md5=99770aeada81c96ff024b13e6d5f8c49
,Climatological characteristics of fronts in the western North Pacific based on surface weather charts,Journal of Geophysical Research,2014,"Utsumi, N., Kim, H., Seto, S., Kanae, S., Oki, T.",5.576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906708996&doi=10.1002%2f2014JD021734&partnerID=40&md5=88bf8a35240630a2f230e830e779e101
,"Hydrological droughts in the 21st century, hotspots and uncertainties from a global multimodel ensemble experiment",Proceedings of the National Academy of Sciences of the United States of America,2014,"Prudhomme, C., Giuntoli, I., Robinson, E.L., Clark, D.B., Arnell, N.W., Dankers, R., Fekete, B.M., Franssen, W., Gerten, D., Gosling, S.N., Hagemann, S., Hannah, D.M., Kim, H., Masaki, Y., Satoh, Y., Stacke, T., Wada, Y., Wisser, D.",12.779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895812661&doi=10.1073%2fpnas.1222473110&partnerID=40&md5=c0ef9a5e6e96e63ddd09ae3562853e82
,Multisectoral climate impact hotspots in a warming world,Proceedings of the National Academy of Sciences of the United States of America,2014,"Piontek, F., Müller, C., Pugh, T.A.M., Clark, D.B., Deryng, D., Elliott, J., De Jesus Colón González, F., Flörke, M., Folberth, C., Franssen, W., Frieler, K., Friend, A.D., Gosling, S.N., Hemming, D., Khabarov, N., Kim, H., Lomas, M.R., Masaki, Y., Mengel, M., Morse, A., Neumann, K., Nishina, K., Ostberg, S., Pavlick, R., Ruane, A.C., Schewe, J., Schmid, E., Stacke, T., Tang, Q., Tessler, Z.D., Tompkins, A.M., Warszawski, L., Wisser, D., Schellnhuber, H.J.",12.779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895808871&doi=10.1073%2fpnas.1222471110&partnerID=40&md5=467a3ede5c8bebbb6e257a87ad9eef17
,Multimodel assessment of water scarcity under climate change,Proceedings of the National Academy of Sciences of the United States of America,2014,"Schewe, J., Heinke, J., Gerten, D., Haddeland, I., Arnell, N.W., Clark, D.B., Dankers, R., Eisner, S., Fekete, B.M., Colón-González, F.J., Gosling, S.N., Kim, H., Liu, X., Masaki, Y., Portmann, F.T., Satoh, Y., Stacke, T., Tang, Q., Wada, Y., Wisser, D., Albrecht, T., Frieler, K., Piontek, F., Warszawski, L., Kabat, P.",12.779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895803592&doi=10.1073%2fpnas.1222460110&partnerID=40&md5=b4b517218d01111e715d7517b8ab90f7
,First look at changes in flood hazard in the Inter-Sectoral Impact Model Intercomparison Project ensemble,Proceedings of the National Academy of Sciences of the United States of America,2014,"Dankers, R., Arnell, N.W., Clark, D.B., Falloon, P.D., Fekete, B.M., Gosling, S.N., Heinke, J., Kim, H., Masaki, Y., Satoh, Y., Stacke, T., Wada, Y., Wisser, D.",12.779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895794618&doi=10.1073%2fpnas.1302078110&partnerID=40&md5=a679e0b72b2f7112ad5828bf0cda8d5b
,State of the climate in 2013,Bulletin of the American Meteorological Society,2014,"Blunden, J., Arndt, D.S., Willett, K.M., Dolman, A.J., Hurst, D.F., Rennie, J., Thorne, P.W., Donat, M.G., Dunn, R.J.H., Long, C.S., Christy, J.R., Noetzli, J., Christiansen, H.H., Gugliemin, M., Romanovsky, V.E., Shiklomanov, N.I., Smith, S.L., Zhao, L., Robinson, D.A., Pelto, M.S., Mears, C.A., Ho, S.-O.B., Peng, L., Wang, J., Vose, R.S., Hilburn, K., Yin, X., Kruk, M.C., Becker, A., Foster, M.J., Ackerman, S.A., Heidinger, A.K., Maddux, B.C., Stengel, M., Kim, H., Oki, T., Rodell, M., Chambers, D.P., Famiglietti, J.S., Dorigo, W.A., Chung, D., Parinussa, R.M., Reimer, C., Hahn, S., Liu, Y.Y., Wagner, W.W., de Jeu, R.A.M., Paulik, C., Wang, G., Allan, R., Folland, C.K., Tobin, I., Berrisford, P., Vautard, R., McVicar, T.R., Kratz, D.P., Stackhouse, P.W., Wong, T., Sawaengphokhai, P., Wilber, A.C., Gupta, S.K., Loeb, N.G., Lantz, K.O., Dlugokencky, E.J., Hall, B.D., Montzka, S.A., Dutton, G.S., Mühle, J., Elkins, J.W., Benedetti, A., Jones, L.T., Kaiser, J.W., Morcrette, J.-J., Rémy, S., Weber, M., Steinbrecht, W., van der A., R.J., Coldewey-Egbers, M., Fioletov, V.E., Frith, S.M., Loyola, D., Wild, J.D., Davis, S.M., Rosenlof, K.H., Cooper, O.R., Ziemke, J., Flemming, J., Inness, A., Quegan, S., Ciais, P., Santoro, M., Pinty, B., Gobron, N., van der Werf, G.R., Newlin, M.L., Gregg, M.C., Xue, Y., Hu, Z.-Z., Kumar, A., Banzon, V., Smith, T.M., Rayner, N.A., Johnson, G.C., Lyman, J.M., Willis, J.K., Boyer, T., Antonov, J., Good, S.A., Domingues, C.M., Bindoff, N., Yu, L., Jin, X., Lagerloef, G.S.E., Kao, H.-Y., Reagan, J., Schmid, C., Locarnini, R., Lumpkin, R., Goni, G., Dohan, K., Baringer, M.O., McCarthy, G., Lankhorst, M., Smeed, D.A., Send, U., Rayner, D., Johns, W.E., Meinen, C.S., Cunningham, S.A., Kanzow, T.O., Frajka-Williams, E., Marotzke, J., Garzoli, S., Dong, S., Volkov, D., Hobbs, W.R., Merrifield, M.A., Thompson, P., Leuliette, E., Nerem, R.S., Hamlington, B., Mitchum, G.T., McInnes, K., Marra, J.J., Menéndez, M., Sweet, W., Feely, R.A., Wanninkhof, R., Sabine, C.L., Mathis, J.T., Takahashi, T., Khatiwala, S., Franz, B.A., Behrenfeld, M.J., Siegel, D.A., Werdell, P.J., Diamond, H.J., Bell, G.D., L’Heureux, M., Halpert, M.S., Baxter, S., Gottschalck, J., Landsea, C.W., Goldenberg, S.B., Pasch, R.J., Blake, E.S., Schemm, J., Kimberlain, T.B., Schreck, C.J., Evans, T.E., Camargo, S.J., Gleason, K.L., Trewin, B.C., Lorrey, A.M., Fauchereau, N.C., Chappell, P.R., Ready, S., Goni, G.J., Knaff, J.A., Lin, I.-I., Wang, B., Mullan, A.B., Pezza, A.B., Coelho, C.A.S., Wang, C., Fogarty, C.T., Klotzbach, P., Luo, J.-J., Lander, M.A., Guard, C.P.C., Jeffries, M.O., Richter-Menge, J., Overland, J., Key, J., Hanna, E., Hanssen-Bauer, I., Kim, B.-M., Kim, S.-J., Walsh, J., Wang, M., Bhatt, U.S., Liu, Y., Stone, R., Cox, C., Walden, V., Francis, J., Vavrus, S., Tang, Q., Bernhard, G., Manney, G., Grooß, J.-U., Müller, R., Heikkilä, A., Johnsen, B., Koskela, T., Lakkala, K., Svendby, T., Dahlback, A., Bruhwiler, L., Laurila, T., Worthy, D., Quinn, P.K., Stohl, A., Baklanov, A., Flanner, M.G., Herber, A., Kupiainen, K., Law, K.S., Schmale, J., Sharma, S., Vestreng, V., Von Salzen, K., Perovich, D., Gerland, S., Hendricks, S., Meier, W., Nicolaus, M., Tschudi, M., Timmermans, M.-L., Ashik, I., Frolov, I., Ha, H.K., Ingvaldsen, R., Kikuchi, T., Kim, T.W., Krishfield, R., Loeng, H., Nishino, S., Pickart, R., Polyakov, I., Rabe, B., Schauer, U., Schlosser, P., Smethie, W.M., Sokolov, V., Steele, M., Toole, J., Williams, W., Woodgate, R., Zimmerman, S., Cross, J.N., Evans, W., Anderson, L., Yamamoto-Kawai, M., Derksen, C., Brown, R., Luojus, K., Sharp, M., Wolken, G., Geai, M.-L., Burgess, D., Arendt, A., Wouters, B., Kohler, J., Andreassen, L.M., Tedesco, M., Box, J.E., Cappelen, J., Fettweis, X., Jensen, T.S., Mote, T., Rennermalm, A.K., Smith, L.C., van de Wal, R.S.W., Wahr, J., Duguay, C.R., Brown, L.C., Kang, K.-K., Kheyrollah Pour, H., Streletskiy, D.A., Drozdov, D.S., Malkova, G.V., Oberman, N.G., Kholodov, A.L., Marchenko, S.S., Fogt, R.L., Scambos, T.A., Clem, K.R., Barreira, S., Colwell, S., Keller, L.M., Lazzara, M.A., Setzer, A., Bromwich, D.H., Wang, S.-H., Wang, L., Liu, H., Wang, S., Shu, S., Massom, R.A., Reid, P., Stammerjohn, S., Lieser, J., Newman, P.A., Kramarova, N., Nash, E.R., Pitts, M.C., Johnson, B., Santee, M.L., Braathen, G.O., Campbell, G.G., Pope, A., Haran, T., Sánchez-Lugo, A., Renwick, J.A., Thiaw, W.M., Weaver, S.J., Vincent, L.A., Phillips, D., Whitewood, R., Crouch, J., Heim, R.R., Fenimore, C., Augustine, J., Pascual, R., Albanil, A., Vazquez, J.L., Lobato, R., Amador, J.A., Alfaro, E.J., Hidalgo, H.G., Durán-Quesada, A.M., Calderón, B., Rivera, I.L., Vega, C., Stephenson, T.S., Taylor, M.A., Trotman, A.R., Porter, A.O., Gonzalez, I.T., Spence, J.M., McLean, N., Campbell, J.D., Brown, G., Butler, M., Blenman, R.C., Aaron-Morrison, A.P., Marcellin-Honore’, V., Martínez, R., Arévalo, J., Carrasco, G., Euscátegui, C., Bazo, J., Nieto, J.J., Zambrano, E., Marengo, J.A., Alves, L.M., Espinoza, J.C., Ronchail, J., Bidegain, M., Stella, J.L., Penalba, O.C., Kabidi, K., Sayouri, A., Ebrahim, A., James, I.A., Dekaa, F.S., Sima, F., Coulibaly, K.A., Gitau, W., Chang’a, L., Oludhe, C.S., Ogallo, L.A., Atheru, Z., Ambenje, P., Kijazi, A., Ng’ongolo, H., Luhunga, P., Levira, P., Kruger, A., McBride, C., Rakotomavo, Z., Jumaux, G., Trachte, K., Bissolli, P., Obregón, A., Nitsche, H., Parker, D., Kennedy, J.J., Kendon, M., Trigo, R., Barriopedro, D., Ramos, A., Sensoy, S., Hovhannisyan, D., Bulygina, O.N., Khoshkam, M., Korshunova, N.N., Oyunjargal, L., Park, E.-H., Rahimzadeh, F., Rajeevan, M., Razuvaev, V.N., Revadekar, J.V., Srivastava, A.K., Yamada, R., Zhang, P., Tanaka, S., Yoshimatsu, K., Ohno, H., Ganter, C., Macara, G.R., McGree, S., Tobin, S.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910080574&doi=10.1175%2f2014BAMSStateoftheClimate.1&partnerID=40&md5=616bb425324b4ca206a31dfe2282c214
,Impact of Pacific and Atlantic sea surface temperatures on interannual and decadal variations of GRACE land water storage in tropical South America,Journal of Geophysical Research Atmospheres,2013,"De Linage, C., Kim, H., Famiglietti, J.S., Yu, J.-Y.",5.217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887146450&doi=10.1002%2fjgrd.50820&partnerID=40&md5=a98ec46c80f89a48b98bc3d7418cecd7
,Difference in the Priestley-Taylor coefficients at two different heights of a tall micrometeorological tower,Agricultural and Forest Meteorology,2013,"Cho, J., Kim, W., Miyazaki, S., Komori, D., Kim, H., Han, K.-S., Kanae, S., Oki, T.",6.424,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879542032&doi=10.1016%2fj.agrformet.2013.05.007&partnerID=40&md5=aabb8e0fcd08bdcfa105ed537b327dc3
,Global flood risk under climate change,Nature Climate Change,2013,"Hirabayashi, Y., Mahendran, R., Koirala, S., Konoshima, L., Yamazaki, D., Watanabe, S., Kim, H., Kanae, S.",28.862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883343408&doi=10.1038%2fnclimate1911&partnerID=40&md5=f84d6ac541a8a27db6667f74f7033440
,Analysis of the water level dynamics simulated by a global river model: A case study in the Amazon River,Water Resources Research,2012,"Yamazaki, D., Lee, H., Alsdorf, D.E., Dutra, E., Kim, H., Kanae, S., Oki, T.",6.159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866233541&doi=10.1029%2f2012WR011869&partnerID=40&md5=2f9f7aa0659a60693d0b51a023a6f819
,Incorporating anthropogenic water regulation modules into a land surface model,Journal of Hydrometeorology,2012,"Pokhrel, Y., Hanasaki, N., Koirala, S., Cho, J., Yeh, P.J.F., Kim, H., Kanae, S., Oki, T.",4.871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863338049&doi=10.1175%2fJHM-D-11-013.1&partnerID=40&md5=cce7f8278f7ead09c948e46a80e5bcf8
,Validation of gravity recovery and climate experiment data for assessment of terrestrial water storage variations,Multiscale Hydrologic Remote Sensing: Perspectives and Applications,2012,"Yeh, P.J.-F., Tang, Q., Kim, H.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055391420&doi=10.1201%2fb11279&partnerID=40&md5=d45fa2ac47c8896114c526b94dd74786
,Toward global-scale data assimilation using SWOT: Requirements for global hydrodynamics models,International Geoscience and Remote Sensing Symposium (IGARSS),2011,"Yamazaki, D., Alsdorf, D., Kim, H., Kanae, S., Oki, T., Andreadis, K.",0.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955139466&doi=10.1109%2fIGARSS.2011.6049855&partnerID=40&md5=35a2385f1b75791b569b74b7f886c5c9
,A physically based description of floodplain inundation dynamics in a global river routing model,Water Resources Research,2011,"Yamazaki, D., Kanae, S., Kim, H., Oki, T.",6.159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953724402&doi=10.1029%2f2010WR009726&partnerID=40&md5=ce77bde9351ed9c35665f088bc4af1e9
,Estimating monthly total nitrogen concentration in streams by using artificial neural network,Journal of Environmental Management,2011,"He, B., Oki, T., Sun, F., Komori, D., Kanae, S., Wang, Y., Kim, H., Yamazaki, D.",8.91,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957769268&doi=10.1016%2fj.jenvman.2010.09.014&partnerID=40&md5=1dc5fe5b2e8f698aa35e903302bf52d5
,Movement of Amazon surface water from time-variable satellite gravity measurements and implications for water cycle parameters in land surface models,"Geochemistry, Geophysics, Geosystems",2010,"Han, S.-C., Yeo, I.-Y., Alsdorf, D., Bates, P., Boy, J.-P., Kim, H., Oki, T., Rodell, M.",4.48,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957593129&doi=10.1029%2f2010GC003214&partnerID=40&md5=e7f1cb5746893067ec9e9ffb10a8d148
,A study on the relationship between Atlantic sea surface temperature and Amazonian greenness,Ecological Informatics,2010,"Cho, J., Yeh, P.J.-F., Lee, Y.-W., Kim, H., Oki, T., Kanae, S., Kim, W., Otsuki, K.",4.498,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956819071&doi=10.1016%2fj.ecoinf.2010.05.005&partnerID=40&md5=ed28d40b0e422ecaacdaf7024b0808dd
,Role of rivers in the seasonal variations of terrestrial water storage over global basins,Geophysical Research Letters,2009,"Kim, H., Yeh, P.J.-F., Oki, T., Kanae, S.",5.576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71949105696&doi=10.1029%2f2009GL039006&partnerID=40&md5=19a9041de88ae14fd771d075d319acd4
,Dynamics of surface water storage in the Amazon inferred from measurements of inter-satellite distance change,Geophysical Research Letters,2009,"Han, S.-C., Kim, H., Yeo, I.-Y., Yeh, P., Oki, T., Seo, K.-W., Alsdorf, D., Luthcke, S.B.",5.576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68249144390&doi=10.1029%2f2009GL037910&partnerID=40&md5=1080724d2e36f30a1bd8fe7a93c37f33